affiliation,type,affiliation_QID,city,state_province,country,coordinate-location,lat,long,street-address
National Gallery of Art,Institution,Q214867,Washington,DC,USA,"38.89138888888889,-77.02",38.89138888888889,-77.02,
National Gallery of Canada,Institution,Q1068063,"Ottowa, Canada",ON,Canada,"45.429434,-75.698386",45.429434,-75.698386,
National Gallery of Scotland,Institution,Q942713,Edinburgh,,United Kingdom,"55.9509,-3.195661",55.9509,-3.195661,
"National Gallery, London",Institution,Q180788,London,,United Kingdom,"51.508929,-0.128299",51.508929,-0.128299,
National Library of Medicine,Institution,Q611833,Bethesda,MD,USA,"38.9951,-77.0993",38.9951,-77.0993,
"National Maritime Museum, Greenwich",Institution,Q1199924,Greenwich,,United Kingdom,"51.4811,-0.005556",51.4811,-0.005556,
National Museum of African Art,Institution,Q46812,Washington,DC,USA,"38.887972222222224,-77.0255",38.887972222222224,-77.0255,
National Museum of Asian Art,Institution,Q105749808,"Washington, D.C.",DC,USA,"38.8881,-77.027382",38.8881,-77.027382,
"National Portrait Gallery, London",Institution,Q238587,London,,United Kingdom,"51.5094,-0.1281",51.5094,-0.1281,
National Taiwan University,Institution,Q32746,Taipei,,Taiwan,"25.016,121.536",25.016,121.536,
National technical university of Athens,Institution,Q1640726,Athens,,Greece,"37.987864,23.731614",37.987864,23.731614,
"National University of Ireland, Maynooth",Institution,Q2601879,Dublin,,Ireland,"53.3835,-6.5996",53.3835,-6.5996,
National University of Singapore,Institution,Q738236,Singapore,,Singapore,"1.2955555555556,103.77666666667",1.2955555555556,103.77666666667,
"Nationalmuseum, Stockholm",Institution,Q842858,Stockholm,,Sweden,"59.328611111111,18.077777777778",59.328611111111,18.077777777778,
Natural history museum of Los Angeles county,Institution,Q2502709,Los Angeles,CA,USA,"34.016989,-118.288781",34.016989,-118.288781,
Nederlands architectuurinstituut,Institution,Q361792,Rotterdam,,Netherlands,"51.91444444,4.47083333",51.91444444,4.47083333,
Nederlands instituut voor het Nabije Oosten,Institution,Q18655579,Leiden,,Netherlands,"52.158511527955035,4.481502357944854",52.158511527955035,4.481502357944854,
"Nederlands Interuniversitair Kunsthistorisch Instituut, Florence",Institution,Q921539,Florence,,Italy,"43.75393889,11.24708889",43.75393889,11.24708889,
Nelson-Atkins Museum of Art,Institution,Q1976985,Kansas City,MO,USA,"39.045,-94.580833",39.045,-94.580833,
"New Delhi, India",City of Residence,Q987,New Delhi,,India,"28.613888888888887,77.2088888888889",28.613888888888887,77.2088888888889,
"New Haven, CT",City of Residence,Q49145,New Haven,CT,USA,"41.308333333333,-72.925",41.308333333333,-72.925,
New Jersey Institute of Technology,Institution,Q3272013,Newark,NJ,USA,"40.742,-74.179",40.742,-74.179,
New Museum of Contemporary Art,Institution,Q1156823,New York,NY,USA,"40.722361,-73.992917",40.722361,-73.992917,
New Orleans Museum of Art,Institution,Q2063082,New Orleans,LA,USA,"29.986389,-90.093417",29.986389,-90.093417,
New School for Social Research,Institution,Q599316,Brooklyn,NY,USA,"40.73534,-73.99704",40.73534,-73.99704,
"New York City, NY",City of Residence,Q60,New York,NY,USA,"40.7,-74",40.7,-74,
New York Institute for the Humanities,Institution,Q1983083,New York,NY,USA,"40.728140411310484,-73.99153551841644",40.728140411310484,-73.99153551841644,
New York University,Institution,Q49210,New York,NY,USA,"40.73, -73.995",40.73, -73.995,
New York University Abu Dhabi,Institution,Q566189,Abu Dhabi,,United Arab Emirates,"24.5239,54.4346",24.5239,54.4346,
Newark Museum,Institution,Q4328346,Newark,NJ,USA,"40.7427,-74.1718",40.7427,-74.1718,
"Nicolas Copernicus University, Poland",Institution,Q1752712,Toruń,,Poland,"53.0153,18.5722",53.0153,18.5722,
North Carolina State University,Institution,Q1132346,Raleigh,NC,USA,"35.787222,-78.670556",35.787222,-78.670556,
Northeastern University,Institution,Q37548,Boston,MA,USA,"42.34,-71.088333",42.34,-71.088333,
Northern Arizona University,Institution,Q139901,Flagstaff,AZ,USA,"35.1875,-111.655",35.1875,-111.655,
Northern Illinois University,Institution,Q1191344,DeKalb,IL,USA,"41.933888888889,-88.777777777778",41.933888888889,-88.777777777778,
Northwestern University,Institution,Q309350,Evanston,IL,USA,"42.054853,-87.673945",42.054853,-87.673945,
"Norwich, England",City of Residence,Q130191,Norwich,,United Kingdom,"52.628056,1.299167",52.628056,1.299167,
"Nottingham, England",City of Residence,Q41262,Nottingham,Nottingham,United Kingdom,"52.955,-1.1491666666667",52.955,-1.1491666666667,
"Oak Spring Garden Library, Upperville",Institution,Q127329059,Upperville,VA,USA,"38.964031,-77.853668",38.964031,-77.853668,"1776 Loughborough Ln, Upperville, VA 20184"
Oakland University,Institution,Q782116,Rochester Hills,MI,USA,"42.672659,-83.215776",42.672659,-83.215776,
"Oakland, CA",City of Residence,Q17042,Oakland,CA,USA,"37.8,-122.25",37.8,-122.25,
Oberlin College,Institution,Q616591,Oberlin,OH,USA,"41.293056, -82.221667",41.293056, -82.221667,
Occidental College,Institution,Q1346110,Los Angeles,CA,USA,"34.127131,-118.210879",34.127131,-118.210879,
Office for metropolitan architecture,Institution,Q2015762,Rotterdam,,Netherlands,"54.02540248664273,3.982229057347555",54.02540248664273,3.982229057347555,
Okello Abungu Heritage Consultants,Institution,Q3870,Nairobi,,Kenya,"-1.2863888888889,36.817222222222",-1.2863888888889,36.817222222222,
Opificio delle Pietre Dure e Laboratori di Restauro,Institution,Q3354176,Florence,,Italy,"43.77610555555555,11.258986111111112",43.77610555555555,11.258986111111112,
Ordrupgaardsamlingen,Institution,Q770918,Charlottenlund,,Denmark,"55.766944,12.563333",55.766944,12.563333,
"Orléans, France",City of Residence,Q6548,Orléans,,France,"47.902222,1.904167",47.902222,1.904167,
Osaka University,Institution,Q651233,Suita,,Japan,"34.819167,135.526667",34.819167,135.526667,
Osterreichische Galerie Belvedere,Institution,Q303139,Vienna,,Austria,"48.191389,16.380833",48.191389,16.380833,
"Oxford, England",City of Residence,Q34217,"Oxford, England",,United Kingdom,"51.751944, -1.257778",51.751944, -1.257778,
P'ohang-Kongwa-Taehakkyo,Institution,Q40018,Pohang,,South Korea,"36.010883333333,129.32266944444",36.010883333333,129.32266944444,
Pabellón Mies van der Rohe,Institution,Q807915,Barcelona,,Spain,"41.370556,2.15",41.370556,2.15,
Paço Imperial,Institution,Q3361206,Rio de Janeiro,,Brazil,"-22.90350833,-43.17423333",-22.90350833,-43.17423333,
"Palace Museum, Beijing",Institution,Q2047427,Beijing,,China,"39.91555556,116.39083333",39.91555556,116.39083333,
"Palazzo reale (Naples, Italy)",Institution,Q426339,Naples,,Italy,"40.836136,14.249283",40.836136,14.249283,
"Palo Alto, CA",City of Residence,Q47265,Palo Alto,CA,USA,"37.429166666667,-122.13805555556",37.429166666667,-122.13805555556,
Panepistēmio Kyprou,Institution,Q1520608,Nicosia,,Cyprus,"35.1597,33.3778",35.1597,33.3778,
Panepistēmio tēs Krētēs,Institution,Q2302473,Rethymno,Iraklion,Greece,"35.307,25.082",35.307,25.082,
"Paris, France",City of Residence,Q90,Paris,,France,"48.856944, 2.351389",48.856944, 2.351389,
Parkett Art Magazine,Institution,Q1763623,Zurich,,Switzerland,"47.38531540904948,8.527954794300557",47.38531540904948,8.527954794300557,
Paul Mellon Centre for Studies in British Art,Institution,Q7152454,London,,United Kingdom,"51.51891111,-0.13010833",51.51891111,-0.13010833,
Pavlodar Pedagogical University,Institution,Q1233542,Pavlodar,,Kazakhstan,"52.298067,76.954261",52.298067,76.954261,
Pegaso International,Institution,Q130387177,Valletta,,Malta,"35.90124607640695,14.51227823844081",35.90124607640695,14.51227823844081,
"Peking, China",City of Residence,Q956,Peking,,China,"39.90403,116.407526",39.90403,116.407526,
Philadelphia Museum of Art,Institution,Q510324,Philadelphia,PA,USA,"39.965833333333336,-75.18138888888889",39.965833333333336,-75.18138888888889,
"Philadelphia, PA",City of Residence,Q1345,Philadelphia,PA,USA,"39.952777777778,-75.163611111111",39.952777777778,-75.163611111111,
Philipps-Universität Marburg,Institution,Q155354,Marburg,,Germany,"50.810833333333,8.7736111111111",50.810833333333,8.7736111111111,
Piedmont Virginia Community College,Institution,Q7191541,Charlottesville,VA,USA,"38.006902,-78.48371",38.006902,-78.48371,
Pinacoteca Do Estado De Sao Paulo,Institution,Q2095209,Sao Paolo,,Brazil,"-23.534444,-46.633889",-23.534444,-46.633889,
Pinacoteca nazionale,Institution,Q1103550,Bologna,,Italy,"44.497707,11.353538",44.497707,11.353538,
"Pisa, Italy",City of Residence,Q13375,Pisa,,Italy,"43.716667, 10.4",43.716667, 10.4,
"Pistoia, Italy",City of Residence,Q13376,Pistoia,,Italy,"43.933333333333,10.916666666667",43.933333333333,10.916666666667,
"Pittsburgh, PA",City of Residence,Q1342,Pittsburgh,PA,USA,"40.441667,-80",40.441667,-80,
Pitzer College,Institution,Q7199570,Claremont,CA,USA,"34.10388888888889,-117.70555555555555",34.10388888888889,-117.70555555555555,
"Poitiers, France",City of Residence,Q6616,Poitiers,,France,"46.581111111111,0.33527777777778",46.581111111111,0.33527777777778,
Polish Academy of Sciences,Institution,Q651690,Warsaw,,Poland,"52.2317,21.0064",52.2317,21.0064,
"Polish Academy of Sciences and Letters, Institute of Art",Institution,Q2092629,Kracow,,Poland,"50.06441111111111,19.938233333333333",50.06441111111111,19.938233333333333,
Politecnico di Milano,Institution,Q392904,Milan,,Italy,"45.478030555555556,9.227319444444445",45.478030555555556,9.227319444444445,
Politecnico di Torino,Institution,Q392897,Turin,,Italy,"45.063094444444,7.661075",45.063094444444,7.661075,
Pomona College,Institution,Q7227384,Claremont,CA,USA,"34.098055555555554,-117.71388888888889",34.098055555555554,-117.71388888888889,
Pontificia Universidad Católica de Chile,Institution,Q1129925,Santiago,,Chile,"-33.441148,-70.640694",-33.441148,-70.640694,
Pontificia universidad católica del Perú,Institution,Q200601,Miraflores,,Peru,"-12.069444444444445,-77.07944444444445",-12.069444444444445,-77.07944444444445,
Pontifícia Universidade Católica do Rio de Janeiro,Institution,Q1857293,Rio de Janeiro,,Brazil,"-22.97868,-43.232819",-22.97868,-43.232819,
Portland State University,Institution,Q1771717,Portland,OR,USA,"45.512777777778,-122.68527777778",45.512777777778,-122.68527777778,
"Portland, OR",City of Residence,Q6106,Portland,OR,USA,"45.516666666667,-122.66666666667",45.516666666667,-122.66666666667,
"Potsdam, Germany",City of Residence,Q1711,Potsdam,,Germany,"52.4,13.066666666667",52.4,13.066666666667,
"Prague, Czech Republic",City of Residence,Q1085,Prague,,Czech Republic,"50.0875,14.421389",50.0875,14.421389,
Pratt Institute,Institution,Q1204714,Brooklyn,NY,USA,"40.691111,-73.963889",40.691111,-73.963889,
Prince of Wales Museum of Western India,Institution,Q1071500,Mumbai,,India,"18.926667,72.832222",18.926667,72.832222,
Princeton University,Institution,Q21578,Princeton,NJ,USA,"40.345277777778,-74.656111111111",40.345277777778,-74.656111111111,
Purdue University,Institution,Q217741,West Lafayette,IN,USA,"40.425,-86.923056",40.425,-86.923056,
Qing hua da xue,Institution,Q16955,Beijing,,China,"40,116.33",40,116.33,
"Queen Mary, University of London",Institution,Q195668,London,,United Kingdom,"51.5240671,-0.0403745",51.5240671,-0.0403745,
Queen's College,Institution,Q73094,Oxford,,United Kingdom,"51.75333333333333,-1.251111111111111",51.75333333333333,-1.251111111111111,
"Queen’s University, Kingston, Ontario",Institution,Q1420038,Kingston,ON,Canada,"44.225,-76.495",44.225,-76.495,
Radcliffe Institute for Advanced Study,Institution,Q7280030,Cambridge,MA,USA,"42.37581,-71.12233",42.37581,-71.12233,
Radford University,Institution,Q632465,Radford,VA,USA,"37.1387, -80.55759",37.1387, -80.55759,
Ramapo College of New Jersey,Institution,Q7289009,Mahwah,NJ,USA,"41.083166666667,-74.177166666667",41.083166666667,-74.177166666667,
Randolph College,Institution,Q7291803,Lynchburg,VA,USA,"37.4368,-79.1718",37.4368,-79.1718,
Reed College,Institution,Q1140775,Portland,OR,USA,"45.48, -122.63",45.48, -122.63,
Rensselaer Polytechnic Institute,Institution,Q49211,Troy,NY,USA,"42.73,-73.6775",42.73,-73.6775,
"Research Institute of the Buddhist Culture of China, Beijing",Institution,Q127329129,Beijing,,China,"39.937967,116.417592",39.937967,116.417592,"No. 27 Beichangjie, Beijing, China, 100031"
"Reston, Virginia",City of Residence,Q1375280,Reston,VA,USA,"38.954444444444,-77.346388888889",38.954444444444,-77.346388888889,
Rheinisch-Westfälische Technische Hochschule Aachen,Institution,Q273263,Aachen,,Germany,"50.777777777778,6.0780555555556",50.777777777778,6.0780555555556,
"Rhinebeck, NY",City of Residence,Q994367,Rhinebeck,NY,USA,"41.9275, -73.908611",41.9275, -73.908611,
Rhode Island school of design,Institution,Q49208,Providence,RI,USA,"41.825833333333,-71.407777777778",41.825833333333,-71.407777777778,
Rice University,Institution,Q842909,Houston,TX,USA,"29.716944, -95.402778",29.716944, -95.402778,
"Richmond, the American International University in London",Institution,Q7330738,London,,United Kingdom,"51.4523,-0.2966",51.4523,-0.2966,
Rijksbureau voor Kunsthistorische Documentatie,Institution,Q758610,The Hague,,Netherlands,"52.0816,4.3275",52.0816,4.3275,
"Rijksmuseum, Amsterdam",Institution,Q190804,Amsterdam,,Netherlands,"52.36,4.885278",52.36,4.885278,
Rijksuniversiteit te Gent,Institution,Q1137665,Ghent,,Belgium,"51.043889,3.726111",51.043889,3.726111,
"Rijksuniversiteit, Groningen, Instituut voor Kunst-, Architectuurgeschiedenis en Archeologie",Institution,Q850730,Groningen,,Netherlands,"53.219166666667,6.5627777777778",53.219166666667,6.5627777777778,
"Rimini, Italy",City of Residence,Q13369,Rimini,,Italy,"44.059444444444,12.568333333333",44.059444444444,12.568333333333,
"Rio de Janeiro, Brazil",City of Residence,Q8678,Rio de Janeiro,,Brazil,"-22.911111,-43.205556",-22.911111,-43.205556,
Rochester Institute of Technology,Institution,Q2140778,Rochester,NY,USA,"43.084444, -77.675",43.084444, -77.675,
"Rome, Italy",City of Residence,Q220,Rome,,Italy,"41.893056, 12.482778",41.893056, 12.482778,
Rosemont College,Institution,Q7368476,Bryn Mawr,PA,USA,"40.0328,-75.327",40.0328,-75.327,
Rossíiskaya akadémiya naúk,Institution,Q83172,Moscow,,Russia,"55.710794444444,37.577813888889",55.710794444444,37.577813888889,
"Rovereto, Italy",City of Residence,Q279373,Rovereto,,Italy,"45.883333,11.034167",45.883333,11.034167,
Royal Academy of Arts,Institution,Q270920,London,,United Kingdom,"51.509166666667,-0.13944444444444",51.509166666667,-0.13944444444444,
Royal College of Art (Great Britain),Institution,Q1753535,London,,United Kingdom,"51.501388888889,-0.17888888888889",51.501388888889,-0.17888888888889,
Royal Holloway,Institution,Q1202039,London,,United Kingdom,"51.4248,-0.566731",51.4248,-0.566731,
"Ruhr-Universität Bochum, Kunstgeschichtliches Institut",Institution,Q309948,Bochum,,Germany,"51.443888888889,7.2616666666667",51.443888888889,7.2616666666667,
Russian Academy of Architecture and Building Sciences,Institution,Q4397939,Moscow,,Russia,"55.763677,37.612732",55.763677,37.612732,
Russian Academy of Arts,Institution,Q4397946,Moscow,,Russia,"55.7415,37.5929",55.7415,37.5929,
"Rutgers, The State University of New Jersey",Institution,Q499451,New Brunswick,NJ,USA,"40.501666666667,-74.448055555556",40.501666666667,-74.448055555556,
"Saint John's University, New York",Institution,Q1138374,New York,NY,USA,"40.721944, -73.795556",40.721944, -73.795556,
Saint Louis Art Museum,Institution,Q1760539,Saint Louis,MO,USA,"38.639306, -90.294491",38.639306, -90.294491,
Sambalpur University,Institution,Q7408990,Sambalpur,,India,"21.480361, 83.883703",21.480361, 83.883703,
"San Anselmo, CA",City of Residence,Q984597,San Anselmo,CA,USA,"37.98, -122.568056",37.98, -122.568056,
San Antonio Museum of Art,Institution,Q1647706,San Antonio,TX,USA,"29.437568, -98.482089",29.437568, -98.482089,
"San Antonio, TX",City of Residence,Q975,San Antonio,TX,USA,"29.425,-98.493889",29.425,-98.493889,
San Diego Museum of Art,Institution,Q1368166,San Diego,CA,USA,"32.73223, -117.15047",32.73223, -117.15047,
"San Diego, CA",City of Residence,Q16552,San Diego,CA,USA,"32.715, -117.1625",32.715, -117.1625,
San Francisco Art Institute,Institution,Q586735,San Francisco,CA,USA,"37.8035,-122.417",37.8035,-122.417,
San Francisco Museum of Modern Art,Institution,Q913672,San Francisco,CA,USA,"7.7858,-122.401",7.7858,-122.401,
San Francisco State University,Institution,Q1256981,San Francisco,CA,USA,"37.723333,-122.479722",37.723333,-122.479722,
San José State University,Institution,Q498526,San Jose,CA,USA,"37.335555555556,-121.88111111111",37.335555555556,-121.88111111111,
"Sao Paolo, Brazil",City of Residence,Q174,Sao Paolo,,Brazil,"-23.550394, -46.633947",-23.550394, -46.633947,
Sarah Lawrence College,Institution,Q1051840,Bronxville,NY,USA,"40.935124,-73.844326",40.935124,-73.844326,
"Sausalito, CA",City of Residence,Q828729,Sausalito,CA,USA,"37.857777777778,-122.49027777778",37.857777777778,-122.49027777778,
School of the Art Institute of Chicago,Institution,Q7432601,Chicago,IL,USA,"41.879444,-87.623889",41.879444,-87.623889,
School of Visual Arts,Institution,Q1279835,New York,NY,USA,"40.738611,-73.982222",40.738611,-73.982222,
Schweizerisches Institut für Kunstwissenschaft,Institution,Q2256716,Zurich,,Switzerland,"47.362485,8.555264",47.362485,8.555264,
Science and Research Center of the Republic of Slovenia,Institution,Q15977604,Koper,,Slovenia,"46.047610, 14.504710",46.047610, 14.504710,
Scientific Analysis of Fine Art,Institution,Q117405686,New York,NY,USA,"40.764317899474996,-73.92362849774025",40.764317899474996,-73.92362849774025,
Scottish National Gallery of Modern Art,Institution,Q1889944,Edinburgh,,Scotland,"55.9506,-3.22746",55.9506,-3.22746,
Scripps College,Institution,Q10664609,Claremont,CA,USA,"34.103528, -117.710667",34.103528, -117.710667,
Scuola Normale Superiore di Pisa,Institution,Q672416,Pisa,,Italy,"43.719611,10.400225",43.719611,10.400225,
Seton Hall University,Institution,Q585828,South Orange,NJ,USA,"40.743144,-74.246635",40.743144,-74.246635,
Shandong Provincial Museum,Institution,Q4132844,Shandong,,China,"36.65885,117.09613333",36.65885,117.09613333,
Shumen University,Institution,Q1782652,Shumen,,Bulgaria,"43.279915,26.946383",43.279915,26.946383,
"Silver Spring, MD",City of Residence,Q755741,Silver Spring,MD,USA,"39.002441, -77.020791",39.002441, -77.020791,
Simmons College,Institution,Q14437811,Boston,MA,USA,"42.3398,-71.1002",42.3398,-71.1002,
Skidmore College,Institution,Q7535073,Saratoga Springs,NY,USA,"43.097777777778,-73.785277777778",43.097777777778,-73.785277777778,
Slovenská akadémia vied,Institution,Q1050317,Bratislava,,Slovakia,"48.154894444444,17.105869444444",48.154894444444,17.105869444444,
Smith College,Institution,Q49204,Northampton,MA,USA,"42.3175, -72.6375",42.3175, -72.6375,
Smithsonian institution,Institution,Q131626,Washington,DC,USA,"38.893056, -77.024444",38.893056, -77.024444,
Södertörns högskola,Institution,Q3110979,Flemingsberg,,Sweden,"59.219444,17.943056",59.219444,17.943056,
"Sofiĭski universitet ""Sv. Kliment Okhridski""",Institution,Q841581,Sofia,Sofiya,Bulgaria,"42.693611111111,23.335",42.693611111111,23.335,
"Sola Scriptura Lelkészképző és Teológiai Főiskola, Budapest",Institution,Q30257536,Budapest,,Hungary,"47.46816,18.8292",47.46816,18.8292,
"Somerville, MA",City of Residence,Q49199,Somerville,MA,USA,"42.3875,-71.1",42.3875,-71.1,
"Sophia University, Tokyo",Institution,Q1153094,Tokyo,,Japan,"35.684166666667,139.73194444444",35.684166666667,139.73194444444,
"Southern Illinois University, Carbondale",Institution,Q1472347,Carbondale,IL,USA,"37.71645,-89.22033",37.71645,-89.22033,
Southern Methodist University,Institution,Q1536258,"Dallas, Texas",TX,USA,"32.844114,-96.784874",32.844114,-96.784874,
Southern New Hampshire University,Institution,Q3445256,Manchester,NH,USA,"43.0397,-71.4539",43.0397,-71.4539,
Southwestern University,Institution,Q3551493,Georgetown,TX,USA,"30.636,-97.6648",30.636,-97.6648,
Spelman College,Institution,Q7575916,Atlanta,GA,USA,"33.746,-84.411",33.746,-84.411,
Spertus Institute of Jewish Studies,Institution,Q2896792,Chicago,IL,USA,"41.874,-87.6247",41.874,-87.6247,
St. John's College Oxford,Institution,Q609646,Oxford,,United Kingdom,"51.75612,-1.258605",51.75612,-1.258605,
"St. Petersburg, Russia",City of Residence,Q656,St. Petersburg,,Russia,"59.95,30.316666666667",59.95,30.316666666667,
"St. Xavier's College, Mumbai",Institution,Q7592174,Mumbai,,India,"18.9432,72.8313",18.9432,72.8313,
Staatliche Graphische Sammlung München,Institution,Q464404,Munich,,Germany,"48.14444444,11.56666667",48.14444444,11.56666667,
Staatliche Hochschule für Gestaltung,Institution,Q896116,Karlsruhe,,Germany,"49.001666666667,8.3838888888889",49.001666666667,8.3838888888889,
"Staatliche Kunsthalle, Karlsruhe",Institution,Q658725,Karlsruhe,,Germany,"49.0119,8.4",49.0119,8.4,
Staatliche Kunstsammlungen Dresden,Institution,Q653002,Dresden,,Germany,"51.0528,13.7369",51.0528,13.7369,
Staatliche Museen zu Berlin,Institution,Q700216,Berlin,,Germany,"52.521944,13.394722",52.521944,13.394722,
Staatliches Museum Schwerin,Institution,Q2324618,Schwerin,,Germany,"53.6264,11.4183",53.6264,11.4183,
Staatsgalerie Stuttgart,Institution,Q14917275,Stuttgart,,Germany,"48.780228,9.186875",48.780228,9.186875,
Städtische Galerie Bremen,Institution,Q80195096,Bremen,,Germany,"53.065833,8.806667",53.065833,8.806667,
Städtischen Museen Jena,Institution,Q130387265,Jena,,Germany,"50.928767754347085,11.588160224367355",50.928767754347085,11.588160224367355,
Stanford University,Institution,Q41506,Stanford,CA,USA,"37.4282293,-122.1688576",37.4282293,-122.1688576,
"Stanford, CA",City of Residence,Q173813,Stanford,CA,USA,"37.424109,-122.166079",37.424109,-122.166079,
"State College, PA",City of Residence,Q1187041,State College,PA,USA,"40.791388888889,-77.858611111111",40.791388888889,-77.858611111111,
State Hermitage Museum,Institution,Q132783,St. Petersburg,,Russia,"59.939832,30.31456",59.939832,30.31456,
State Pushkin Museum of Fine Arts,Institution,Q4872,Moscow,,Russia,"55.74722222222222,37.605",55.74722222222222,37.605,
State University of New York at Albany,Institution,Q1780816,Albany,NY,USA,"42.686193, -73.823884",42.686193, -73.823884,
State university of New York at Buffalo,Institution,Q681025,Buffalo,NY,USA,"43,-78.78916666666667",43,-78.78916666666667,
State University of New York at New Paltz,Institution,Q7603625,New Paltz,NY,USA,"41.7436,-74.0839",41.7436,-74.0839,
State university of New York college at Purchase,Institution,Q4359408,New York,NY,USA,"41.047285,-73.702126",41.047285,-73.702126,
Stedelijk Museum,Institution,Q924335,Amsterdam,,Netherlands,"52.357778,4.879722",52.357778,4.879722,
"Stedelijk Museum Het Prinsenhof, Gemeente Musea Delft",Institution,Q281903,Delft,,Netherlands,"52.011667,4.354444",52.011667,4.354444,
Stellenbosch University,Institution,Q1066492,Cape Town,Western Cape,South Africa,"-33.93277777777778,18.864166666666666",-33.93277777777778,18.864166666666666,
Sterling and Francine Clark Art Institute,Institution,Q1465805,Williamstown,MA,USA,"42.7078,-73.2136",42.7078,-73.2136,
Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,Institution,Q531772,Potsdam,,Germany,"52.40037,13.04465",52.40037,13.04465,
"Stockholm, Sweden",City of Residence,Q1754,Stockholm,,Sweden,"59.329444444444,18.068611111111",59.329444444444,18.068611111111,
Stockholms universitet,Institution,Q221645,Stockholm,,Sweden,"59.363056,18.060556",59.363056,18.060556,
"Stony Brook University, State College of New York",Institution,Q969850,Stony Brook,NY,USA,"40.9173205,-73.1245537",40.9173205,-73.1245537,
Studio Museum in Harlem,Institution,Q903403,New York,NY,USA,"40.80841,-73.94761",40.80841,-73.94761,
"Sunnyside, NY",City of Residence,Q7523819,Sunnyside,NY,USA,"40.742881, -73.9188",40.742881, -73.9188,
"Surrey, England",City of Residence,Q23276,Surrey,,United Kingdom,"51.25,-0.45",51.25,-0.45,
Swarthmore College,Institution,Q1378320,Swarthmore,PA,USA,"39.905,-75.353888888889",39.905,-75.353888888889,
"Swedish Institute of Classical Studies, Rome",Institution,Q3803836,Rome,,Italy,"41.916780, 12.478520",41.916780, 12.478520,"Via Omero, 14, 00197 Roma, Italy"
"Sydney, Australia",City of Residence,Q3130,Sydney,,Australia,"-33.867777777777775,151.21",-33.867777777777775,151.21,
Syracuse University,Institution,Q617433,Syracuse,NY,USA,"43.037638888889,-76.134",43.037638888889,-76.134,
Tate Modern,Institution,Q193375,London,,United Kingdom,"51.507778,-0.099444",51.507778,-0.099444,
"Tbilisi, Georgia",City of Residence,Q994,Tbilisi,,Georgia,"41.7225,44.7925",41.7225,44.7925,
"Tea Tree Gully, Australia",City of Residence,Q2062776,Tea Tree Gully,,Australia,"-34.833333,138.683333",-34.833333,138.683333,
Technische Universität Berlin,Institution,Q51985,Berlin,,Germany,"52.511944,13.326389",52.511944,13.326389,
Technische Universität Chemnitz,Institution,Q159630,Chemnitz,,Germany,"50.83917,12.9275",50.83917,12.9275,
Technische Universität Dresden,Institution,Q158158,Dresden,,Germany,"51.028055555555554,13.726666666666667",51.028055555555554,13.726666666666667,
Technische Universität Wien,Institution,Q689400,Vienna,,Austria,"48.19862,16.37077",48.19862,16.37077,
Technische Universiteit Delft,Institution,Q752663,Delft,,Netherlands,"52.001667,4.3725",52.001667,4.3725,
Tel Aviv University,Institution,Q319239,Tel Aviv,,Israel,"32.1125,34.805",32.1125,34.805,
Temple University,Institution,Q1420239,Philadelphia,PA,USA,"39.981388888889,-75.154444444444",39.981388888889,-75.154444444444,
Texas A&M University,Institution,Q49212,College Station,TX,USA,"30.610369,-96.344056",30.610369,-96.344056,
Texas Christian University,Institution,Q2302280,Fort Worth,TX,USA,"32.709605,-97.362823",32.709605,-97.362823,
Texas Tech University,Institution,Q1423756,Lubbock,TX,USA,"33.58483,-101.87999",33.58483,-101.87999,
Teylers Museum,Institution,Q474563,Haarlem,,Netherlands,"52.380556,4.640278",52.380556,4.640278,
The Albertina,Institution,Q371908,Vienna,,Austria,"48.20456,16.36832",48.20456,16.36832,
The Bowes Museum,Institution,Q895434,Barnard Castle,,United Kingdom,"54.541738,-1.915655",54.541738,-1.915655,
The Burlington Magazine,Institution,Q1016639,London,,United Kingdom,"51.526860,-0.128550",51.526860,-0.128550,
The Colored Girls Museum,Institution,Q96742105,Philadelphia,PA,USA,"40.022749,-75.164491",40.022749,-75.164491,
"The Fashion Institute of Technology, State University of New York",Institution,Q844999,New York,NY,USA,"40.746667,-73.994167",40.746667,-73.994167,
The Fitzwilliam Museum,Institution,Q1421440,"Cambridge, England",,United Kingdom,"52.200278,0.119444",52.200278,0.119444,
"The Hague, Netherlands",City of Residence,Q36600,The Hague,,Netherlands,"52.08,4.31",52.08,4.31,
The Institute for Art History,Institution,Q127329178,Bratislava,,Slovak Republic,"48.167861,17.073528",48.167861,17.073528,
The Metropolitan Museum of Art,Institution,Q160236,New York,NY,USA,"40.779444444444444,-73.96333333333334",40.779444444444444,-73.96333333333334,
The Morgan Library and Museum,Institution,Q1478423,New York,NY,USA,"40.748803,-73.981556",40.748803,-73.981556,
The Ohio State University,Institution,Q309331,Columbus,OH,USA,"40,-83.0125",40,-83.0125,
The Open University,Institution,Q2413375,Milton Keynes,,United Kingdom,"52.025,-0.70555555555556",52.025,-0.70555555555556,
The Pennsylvania State University,Institution,Q739627,State College,PA,USA,"40.796111, -77.862778",40.796111, -77.862778,
The Phillips Collection,Institution,Q578485,Washington,DC,USA,"38.911388888889,-77.046666666667",38.911388888889,-77.046666666667,
"The Textile Museum, George Washington University",Institution,Q7708465,Washington,DC,USA,"38.913889,-77.051944",38.913889,-77.051944,
